belongs_to_collection;genres;id;imdb_id;original_title;overview;poster_path;release_date;runtime;tagline;title;video;vote_average
;[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}];17;tt0411267;The Dark;Adèle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. Adèle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.;/8fzjzQhLXl1afshhsE5Y3MGuco4.jpg;26/01/2006;87.0;One of the living for one of the dead.;The Dark;False;5.6
;[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}];18;tt0119116;The Fifth Element;In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.;/zaFa1NRZEnFgRTv5OVXkNIZO78O.jpg;07/05/1997;126.0;There is no future without it.;The Fifth Element;False;7.3
;[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}];19;tt0017136;Metropolis;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;/qriaeUUwdmlgethK3aSAx68mG05.jpg;10/01/1927;153.0;There can be no understanding between the hands and the brain unless the heart acts as mediator.;Metropolis;False;8.0
;[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];20;tt0314412;My Life Without Me;A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.;/vVj92VBFUBzjqzLvBiPVVlJDp78.jpg;07/03/2003;106.0;;My Life Without Me;False;7.2
{'id': 252313, 'name': 'The Endless Summer Collection', 'poster_path': '/zhG3P4ALlXxoFi0CGfcVsR3qmDL.jpg', 'backdrop_path': '/rbeqwDmy0yPMxBqA2ELvu08okcn.jpg'};[{'id': 99, 'name': 'Documentary'}];21;tt0060371;The Endless Summer;The Endless Summer, by Bruce Brown, is one of the first and most influential surf movies of all times. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which back in 1965 was off-season for surfing) in search of the perfect wave and an endless summer.;/jqsZQPxeMjcvVN5aFGgAk7qQodr.jpg;15/06/1966;95.0;;The Endless Summer;False;7.8
{'id': 295, 'name': 'Pirates of the Caribbean Collection', 'poster_path': '/zT5UKFhq9nk97VGlBbAxlAK8UFN.jpg', 'backdrop_path': '/cnKAGbX1rDkAquF2V1wVkptHDJO.jpg'};[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}];22;tt0325980;Pirates of the Caribbean: The Curse of the Black Pearl;Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.;/tkt9xR1kNX5R9rCebASKck44si2.jpg;09/07/2003;143.0;Prepare to be blown out of the water.;Pirates of the Caribbean: The Curse of the Black Pearl;False;7.5
{'id': 2883, 'name': 'Kill Bill Collection', 'poster_path': '/tf1nUtw3LJGUGv1EFFi23iz6ngr.jpg', 'backdrop_path': '/oCLKNACMNrEf4T1EP6BpMXDl5m1.jpg'};[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}];24;tt0266697;Kill Bill: Vol. 1;An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.;/97fNAi62HawGjWru7PvVmF7RAbU.jpg;10/10/2003;111.0;Go for the kill.;Kill Bill: Vol. 1;False;7.7
{'id': 285564, 'name': 'Jarhead Collection', 'poster_path': '/aRFpBjCseFD6UmahAuLdqS7Or5q.jpg', 'backdrop_path': '/ifSnip5tvaHvxLPAyjkiihE6T2I.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}];25;tt0418763;Jarhead;Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.;/kmbyO0XUHRHcMyxVSZAWDdrpxIu.jpg;04/11/2005;125.0;Welcome to the suck.;Jarhead;False;6.6
;[{'id': 18, 'name': 'Drama'}];26;tt0352994;LaLehet Al HaMayim;Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country during which, Axel challenges Eyal's values.;/5BH0k5pauAqywpr4NL9nKYcKC6O.jpg;05/02/2004;103.0;He was trained to hate until he met the enemy.;Walk on Water;False;6.5
;[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}];27;tt0411705;9 Songs;Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.;/bvGyYmmnQG5NPP7m2nuLhaiC8LH.jpg;16/07/2004;66.0;2 lovers, one summer, and the 9 songs that defined them.;9 Songs;False;5.1
;[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}];28;tt0078788;Apocalypse Now;"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.";/jcvJ2xcVWU9Wh0hZAxcs103s8nN.jpg;15/08/1979;153.0;This is the end...;Apocalypse Now;False;8.0
;[{'id': 37, 'name': 'Western'}];33;tt0105695;Unforgiven;William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.;/km6qw4qUkHQRN5y2U1juM1WkBFh.jpg;07/08/1992;131.0;Some legends will never be forgotten. Some wrongs can never be forgiven.;Unforgiven;False;7.7
;[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}];35;tt0462538;The Simpsons Movie;After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.;/eCytnEriVur3rT47NWfkgPXD9qs.jpg;25/07/2007;87.0;See our family. And feel better about yours.;The Simpsons Movie;False;6.9
;[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];38;tt0338013;Eternal Sunshine of the Spotless Mind;Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.;/7y3eYvTsGjxPYDtSnumCLIMDkrV.jpg;19/03/2004;108.0;You can erase someone from your mind. Getting them out of your heart is another story.;Eternal Sunshine of the Spotless Mind;False;7.9
;[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];55;tt0245712;Amores perros;"Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.";/8gEXmIzw1tDnBfOaCFPimkNIkmm.jpg;16/06/2000;154.0;Love. Betrayal. Death.;Amores perros;False;7.6
{'id': 295, 'name': 'Pirates of the Caribbean Collection', 'poster_path': '/zT5UKFhq9nk97VGlBbAxlAK8UFN.jpg', 'backdrop_path': '/cnKAGbX1rDkAquF2V1wVkptHDJO.jpg'};[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}];58;tt0383574;Pirates of the Caribbean: Dead Man's Chest;Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.;/waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg;20/06/2006;151.0;Jack is back!;Pirates of the Caribbean: Dead Man's Chest;False;7.0
;[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}];59;tt0399146;A History of Violence;An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.;/mz1qCHXxTUJm2AqOdW3IIpwYdo3.jpg;23/09/2005;96.0;Tom Stall had the perfect life... until he became a hero.;A History of Violence;False;6.9
{'id': 4438, 'name': 'The Space Odyssey Series', 'poster_path': '/i1WdRtc6aObiwGz5NU8WWPW3r1N.jpg', 'backdrop_path': '/15FumSExI9SRoL7QJWZAsA0b10c.jpg'};[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}];62;tt0062622;2001: A Space Odyssey;Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.;/90T7b2LIrL07ndYQBmSm09yqVEH.jpg;10/04/1968;149.0;An epic drama of adventure and exploration;2001: A Space Odyssey;False;7.9
;[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}];63;tt0114746;Twelve Monkeys;In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.;/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg;29/12/1995;129.0;The future is history.;Twelve Monkeys;False;7.4
;[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];64;tt0287467;Hable con ella;Two men share an odd friendship while they care for two women who are both in deep comas.;/klsBB1YEGRyC7YjiLYCKIqkU6pY.jpg;14/03/2002;112.0;;Talk to Her;False;7.5
;[{'id': 18, 'name': 'Drama'}];65;tt0298203;8 Mile;"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.";/dXzTrKwpbLpCqn8O70FUUhNbYQT.jpg;08/11/2002;110.0;Every moment is another chance.;8 Mile;False;6.8
;[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];66;tt0118548;Absolute Power;A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.;/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg;14/02/1997;121.0;Corrupts Absolutely.;Absolute Power;False;6.4
;[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}];67;tt0445620;Paradise Now;Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.;/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg;14/02/2005;90.0;From the most unexpected place, come a  new call for peace.;Paradise Now;False;6.9
;[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}];68;tt0088846;Brazil;Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.;/55Vfc1beLn3pJF4Lw83TRKHenK6.jpg;20/02/1985;132.0;It's only a state of mind.;Brazil;False;7.6
;[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}];69;tt0358273;Walk the Line;A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.;/wdxL3Zyh3O5MIbmsSiZEevJAjtQ.jpg;13/09/2005;136.0;Love is a burning thing.;Walk the Line;False;7.3
;[{'id': 18, 'name': 'Drama'}];70;tt0405159;Million Dollar Baby;Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.;/h4VZKi2Jt4VoBYJmtC4c3bO8KqM.jpg;15/12/2004;132.0;Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.;Million Dollar Baby;False;7.7
;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}];71;tt0249462;Billy Elliot;Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!;/6VaP1H3MOW5jdkWqS5Q1NapCOS6.jpg;18/05/2000;110.0;Inside every one of us is a special talent waiting to come out. The trick is finding it.;Billy Elliot;False;7.4
;[{'id': 18, 'name': 'Drama'}];73;tt0120586;American History X;Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.;/fXepRAYOx1qC3wju7XdDGx60775.jpg;30/10/1998;119.0;Some Legacies Must End.;American History X;False;8.2
;[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}];74;tt0407304;War of the Worlds;Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.;/xXMM9KY2eq1SDOQif9zO91YOBA8.jpg;28/06/2005;116.0;They're already here.;War of the Worlds;False;6.2
;[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}];75;tt0116996;Mars Attacks!;'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.;/gaTuHICwavPUmqQzPZFEXKSRwsC.jpg;12/12/1996;106.0;Nice planet. We'll take it!;Mars Attacks!;False;6.1
{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];76;tt0112471;Before Sunrise;A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.;/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg;27/01/1995;105.0;Can the greatest romance of your life last only one night?;Before Sunrise;False;7.7
;[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}];77;tt0209144;Memento;Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.;/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg;11/10/2000;113.0;Some memories are best forgotten.;Memento;False;8.1
{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/foT46aJ7QPUFDl3CK8ArDl0JaZX.jpg', 'backdrop_path': '/57zhlMYblPute6qb8v16ZmGSPVv.jpg'};[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];78;tt0083658;Blade Runner;In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.;/p64TtbZGCElxQHpAMWmDHkWJlH2.jpg;25/06/1982;117.0;Man has made his match... now it's his problem.;Blade Runner;False;7.9
;[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}];79;tt0299977;英雄;One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.;/xkJnow23eDxwQXB0iIWAWkBF47y.jpg;19/12/2002;99.0;One man's strength will unite an empire.;Hero;False;7.3
{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];80;tt0381681;Before Sunset;Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.;/gycdE1ARByGQcK4fYR2mgpU6OO.jpg;10/02/2004;80.0;What if you had a second chance with the one that got away?;Before Sunset;False;7.6
;[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}];81;tt0087544;風の谷のナウシカ;After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.;/hnYowHwLq0iUWriAHtiiCWsI2dP.jpg;11/03/1984;117.0;;Nausicaä of the Valley of the Wind;False;7.7
;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}];82;tt0430357;Miami Vice;Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.;/3BsNsigWcET4tKLZZhJegw7eOjF.jpg;27/07/2006;134.0;No Law. No Rules. No Order.;Miami Vice;False;5.7
{'id': 86113, 'name': 'Open Water Collection', 'poster_path': '/85FaIaxEgpHolq41GSBYF4c14nj.jpg', 'backdrop_path': '/2vc1MmKa9vMPQerdwLa3fZVhBOS.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];83;tt0374102;Open Water;Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...;/hua2eluUhiLvKqwHFPV2aTiY8pp.jpg;06/08/2004;79.0;Scream all you want.;Open Water;False;5.3
{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'};[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}];85;tt0082971;Raiders of the Lost Ark;When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.;/44sKJOGP3fTm4QXBcIuqu0RkdP7.jpg;12/06/1981;115.0;Indiana Jones - the new hero from the creators of JAWS and STAR WARS.;Raiders of the Lost Ark;False;7.7
;[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];86;tt0430051;Elementarteilchen;Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.;/lDmFUWI0xtA9updU0WWfzE0LmA0.jpg;10/02/2006;105.0;;The Elementary Particles;False;6.4
{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'};[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}];87;tt0087469;Indiana Jones and the Temple of Doom;After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.;/f2nTRKk2zGdUTE7tLJ5EGGSuKA6.jpg;23/05/1984;118.0;If adventure has a name... it must be Indiana Jones.;Indiana Jones and the Temple of Doom;False;7.1
{'id': 86058, 'name': 'Dirty Dancing Collection', 'poster_path': '/gkrOvdbCFuGlxVwCYmczw7aw6Ku.jpg', 'backdrop_path': '/qR6POAKwCL8VwuK8ZjSAdRRFNj9.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}];88;tt0092890;Dirty Dancing;Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer – and unexpectedly falling in love.;/zMHIZHxKv6kdE3JFQqZFqj7OswK.jpg;21/08/1987;100.0;Have the time of your life.;Dirty Dancing;False;7.1
